id,sender_id,receiver_id,amount,start_time
0,2504,5989,100306,1
1,769,1815,99713,506
2,1118,2329,101305,1011
3,5618,3236,99734,1386
4,4115,3150,99732,3490
5,1378,164,102014,5942
6,2506,2745,98006,6093
7,5640,1189,100654,7351
8,5815,4821,99396,8529
9,3112,5263,99224,8590
10,5274,4027,100198,9136
11,4033,5753,100909,9356
12,4155,1739,99172,10515
13,4704,5012,99714,10549
14,4505,3747,99156,10878
15,2679,4740,99708,10954
16,2690,2818,100558,11293
17,717,780,99609,11380
18,4077,5506,99096,12056
19,3509,320,101900,13007
20,881,5744,98463,14210
21,1387,614,97576,17204
22,4170,2961,101102,17255
23,4597,3218,100125,17405
24,3092,4759,100958,19742
25,3247,825,98886,21968
26,4849,2267,100866,22148
27,3917,5570,98607,22994
28,4509,3830,99370,25142
29,4145,3745,101267,25578
30,2095,4583,99172,27840
31,4521,2571,102377,27916
32,689,4726,97944,28779
33,5656,2451,98653,30218
34,5425,4634,98262,30220
35,4641,3706,99549,31084
36,3165,54,100343,31526
37,2826,5456,100619,32155
38,95,1615,100500,38078
39,420,1035,98875,39435
40,5601,1152,99658,39503
41,1383,4537,101645,39736
42,5543,296,100164,39868
43,1034,119,99659,39981
44,170,3061,99594,41947
45,1734,3236,100300,45378
46,5057,1671,99668,45705
47,549,3518,100449,46246
48,3369,2209,99362,46511
49,4308,4847,98492,47067
50,5186,4515,99543,47879
51,2572,819,99457,48045
52,728,5628,100215,48300
53,3701,4282,100065,49362
54,75,779,99803,52781
55,2167,3412,99136,52857
56,1515,913,99309,53074
57,5637,3491,100308,53125
58,5086,4450,99207,53805
59,1227,3723,99425,53845
60,2920,4888,101397,54686
61,2734,1906,100288,54801
62,3481,877,100174,55601
63,1295,4476,100245,56221
64,1591,794,98762,57214
65,445,1262,100229,57390
66,399,2140,99574,59023
67,860,1161,100193,59882
68,3151,5042,100195,60187
69,1949,396,100933,60926
70,4637,4425,100195,60940
71,2563,1407,100743,62351
72,5699,2388,98604,64823
73,48,3853,99821,65171
74,2918,1002,99685,65968
75,2714,5562,98698,66907
76,5785,209,99527,67042
77,471,811,100057,67054
78,129,2760,99496,67069
79,2835,1058,99693,67768
80,786,5319,100151,68190
81,1690,5646,101029,70456
82,5278,1450,97656,71246
83,2079,4796,98330,71381
84,2944,5705,98360,71396
85,5722,3564,99660,71681
86,4849,5187,98915,73914
87,4895,3470,98672,74126
88,4732,3536,99481,74181
89,95,2523,100130,74690
90,5517,3464,98616,78331
91,494,3631,100316,78566
92,3451,2506,98530,78902
93,4203,3524,101053,78979
94,5155,219,100764,80176
95,5408,5192,100862,80805
96,2707,2161,98635,81334
97,139,2411,98036,81473
98,3735,3372,98781,85115
99,2528,4070,98995,85435
100,2562,60,98837,87032
101,191,5285,100654,87760
102,1622,98,99154,89690
103,3247,3169,100320,89894
104,3438,501,97233,91367
105,116,3416,99940,93037
106,2058,3821,101476,93119
107,1430,5902,100853,95122
108,5255,439,101087,95964
109,1125,966,97361,98306
110,2073,2853,100546,99203
111,5037,1875,100877,99832
112,1544,1313,99852,100046
113,2884,3000,101219,100054
114,1250,3035,100794,101962
115,333,2497,100366,102891
116,1403,1917,101470,103539
117,1306,916,100496,104679
118,3267,938,100145,104835
119,5934,4513,99604,104884
120,3119,5399,100698,104906
121,1863,1948,100968,104990
122,5073,2114,100325,107981
123,1202,4963,101008,108368
124,593,284,101300,109583
125,4560,3665,101302,110801
126,207,3515,99087,111101
127,1884,1543,100614,112216
128,2073,4678,100061,112806
129,3695,4701,98186,116248
130,858,2159,100122,117027
131,2470,5854,100095,117253
132,5969,5962,102018,118000
133,4859,813,97893,120183
134,157,3206,100266,121551
135,5510,182,98968,122846
136,5179,4836,99799,124020
137,2928,1132,99796,124830
138,3492,1620,99992,125058
