id,channel_id,counter_edge_id,from_node_id,to_node_id,balance,fee_base,fee_proportional,min_htlc,timelock,is_closed,tot_flows
0,0,1,0,1,4291596,1000,1,1000,144,0,1
1,0,0,1,0,45708404,1000,1,1000,144,0,1
2,1,3,2,1,841085,0,1,1000,144,0,4
3,1,2,1,2,19158915,1000,1,1000,144,0,4
4,2,5,2,1,1443619,0,1,1000,144,0,0
5,2,4,1,2,18556381,1000,1,1000,144,0,0
6,3,7,3,2,1081093,49,9000,1000,30,0,0
7,3,6,2,3,103918907,0,0,1000,9,0,2
8,4,9,2,4,1289011,0,0,1000,18,0,3
9,4,8,4,2,18710989,1000,1,1000,144,0,3
10,5,11,2,5,1702317,0,0,1000,18,0,0
11,5,10,5,2,20297683,1000,1,1000,144,0,2
12,6,13,2,6,2738119,0,1000,1000,18,0,1
13,6,12,6,2,41261881,49,10,1000,144,0,0
14,7,15,7,8,353489,1000,10,1000,14,0,1
15,7,14,8,7,6435511,10,1,0,14,0,1
16,8,17,9,10,8666808,1000,1,1000,144,0,2
17,8,16,10,9,87687192,1000,1,1000,144,0,0
18,9,19,9,10,7269360,1000,1,1000,144,0,0
19,9,18,10,9,242730640,1000,1,1000,144,0,0
20,10,21,11,4,491189,1000,1,1000,144,0,3
21,10,20,4,11,34135811,1000,1,1000,144,0,3
22,11,23,8,12,2319671,200,1,1000,40,0,3
23,11,22,12,8,61554329,1000,1,1000,144,0,0
24,12,25,10,8,5771871,1000,1,1000,144,0,0
25,12,24,8,10,144228129,200,1,1000,40,0,0
26,13,27,13,10,4023799,1000,1000,1000,40,0,0
27,13,26,10,13,145976201,1000,1,1000,144,0,0
28,14,29,6,4,522228,49,10,1000,144,0,0
29,14,28,4,6,11614772,1000,1,1000,144,0,0
30,15,31,14,15,69552,5000,50,0,144,0,0
31,15,30,15,14,1930448,1000,10,1000,14,0,0
32,16,33,16,15,127483,0,1,0,144,0,3
33,16,32,15,16,1872517,1000,10,1000,14,0,3
34,17,35,2,17,9244176,0,1,1000,144,0,8
35,17,34,17,2,190755824,100,1,1000,144,0,2
36,18,37,16,18,284795,0,1,0,144,0,1
37,18,36,18,16,3048205,1000,10,1000,14,0,3
38,19,39,2,19,9243879,0,0,1000,18,0,1
39,19,38,19,2,98996121,1000,1,1000,144,0,1
40,20,41,20,21,3015569,1,100,1000,40,0,0
41,20,40,21,20,234912431,1000,1,900,144,0,0
42,21,43,22,23,122413,0,1,0,144,0,0
43,21,42,23,22,977587,1000,10,1000,14,0,1
44,22,45,16,24,169036653,0,1,1000,144,0,0
45,22,44,24,16,1662220347,800,1,1000,144,0,1
46,23,47,3,25,6790445,49,9000,0,30,0,0
47,23,46,25,3,93209555,1000,10,1000,14,0,0
48,24,49,26,10,28944072,5000,3000,1000,288,0,0
