id,open_edges
0,0
1,1-3-5-207-213-243-247-455-595-615-817-879-1031-2507-3059-3153-3243-3575-3831-3839-3841-4011-4069-4959-6191-6409-7035-8639-11277-11645-11949-12635-12729-13297-13319-13973-14807-14945-15025-15061-15065-15345-16025-16091-16219-16849-17703-18549-18609-18659-18761-21073-21927-21979-22123-22395-23975-25851-26199-28233-28617-31013-36675-37009-41631-42391-50137-50871-52613-53513-55605-56575-58749
2,2-4-7-8-10-12-34-38-70-116-170-339-417-438-486-586-831-1846-1848-1863-1865-1869-1877-1884-1891-1893-1898-1900-1904-1906-2000-2004-2006-2009-2016-2033-2084-2123-2145-2190-2262-2668-2672-2684-2803-2866-2988-3002-3004-3017-3027-3028-3036-3042-3050-3052-3088-3171-3186-3189-3194-3199-3294-3300-3306-3468-3637-3681-3746-3822-3844-3886-3955-4008-4092-4125-4862-4913-4996-5168-5178-5205-5342-5456-6208-6286-6536-6877-7046-7050-7248-7251-7383-7469-7551-8081-8116-8124-8132-8522-8578-8580-8618-8686-8708-8833-8835-8837-8901-9162-9182-9356-9369-9378-9390-9417-9420-9424-9428-9534-10339-10373-10862-10864-10866-10868-10924-10930-11057-11234-11237-11435-11456-11481-11874-12233-12487-13212-13809-14010-14148-14263-14586-14616-14630-14663-14866-14933-14992-14999-15024-15079-15339-15778-15914-16416-16678-16698-17003-17032-17052-17300-17567-18140-18142-19040-19145-19266-19268-19270-19391-19402-19494-19747-19891-19912-20195-20267-20272-20274-20282-20516-20521-20526-20598-20640-20668-20704-20823-21310-21312-21320-21413-21606-21706-21738-21901-21928-21994-22002-22332-22401-22444-22512-22580-22656-22658-22664-22672-22752-23054-23124-23538-23540-23575-23602-23605-23607-23608-23611-23613-23615-23616-23618-23620-23622-23624-23627-23628-23631-23632-23635-23636-23639-23641-23642-23645-23647-23649-23650-23653-23656-23658-23661-23662-23664-23666-23668-23671-23673-23675-23676-23679-23682-23685-23686-23688-23691-23692-23695-23696-23699-23701-23702-23704-23706-23709-23711-23713-23715-23716-23719-23721-23722-23724-23727-23729-23730-23732-23747-23748-23751-23752-23754-23764-23811-23813-23829-23830-23832-23835-23836-23841-23843-23857-23859-23866-23910-23912-23930-23960-23983-24001-24022-24060-24062-24095-24120-24174-24280-24308-24342-24348-24422-24434-24436-24439-24440-24443-24445-24447-24448-24451-24453-24455-24456-24460-24463-24464-24466-24468-24470-24473-24474-24476-24504-24526-24548-24587-24592-24612-24706-24814-24830-24876-25015-25192-25198-25324-25330-25548-25554-25712-25716-25763-25878-25880-25883-25884-25887-25889-25890-25892-25896-25922-25958-25961-25962-25965-25966-25968-25970-25972-26018-26040-26125-26126-26169-26196-26282-26453-26517-26600-26695-26956-27034-27036-27246-27276-27398-27984-28014-28186-28426-28532-28997-29210-29312-29360-29366-29473-29646-29648-29871-29934-29988-30070-30180-30206-30350-30365-30674-30738-31224-31248-31655-31701-31817-31843-31966-31982-32116-32174-32177-32513-32562-32594-32949-32996-33019-33187-33632-33642-33892-33894-33897-33898-33900-33902-33904-33908-33910-33912-33914-33916-33918-33921-33923-33924-33926-33929-33930-33933-33934-33937-33938-33940-33942-33944-33947-33948-33952-33954-33960-33962-33964-33966-33969-33970-33972-33974-33976-33978-33981-33982-33984-33986-33989-33991-33992-33994-33996-33999-34103-34138-34191-34196-34216-34260-34292-34412-34432-34453-34474-34485-34663-34672-34698-34862-34872-34875-34970-35075-35081-35138-35364-35471-35514-35563-35601-35645-35668-35698-35701-35707-35762-35769-35774-35782-35800-35869-35897-35934-35989-36030-36033-36066-36095-36145-36155-36177-36242-36286-36303-36340-36659-36788-36877-37700-37702-37722-37782-37962-38030-38056-38065-38121-38136-38237-38266-38438-38498-38539-38594-38737-38892-39050-39431-39516-39689-39773-39890-39918-39977-40287-40289-40304-40374-40414-40457-40699-40762-40780-40804-40917-40919-40925-40935-40941-40944-40946-40949-40950-40952-40954-40957-40958-40964-40977-40979-40980-40982-40984-40986-40988-40990-40996-40999-41005-41022-41025-41027-41028-41030-41032-41034-41036-41049-41050-41053-41054-41061-41063-41068-41070-41073-41075-41080-41082-41085-41086-41091-41094-41128-41130-41133-41134-41137-41138-41140-41142-41144-41146-41148-41151-41153-41154-41157-41159-41160-41163-41164-41184-41270-41394-41510-41513-41515-41516-41518-41521-41522-41525-41526-41529-41530-41543-41671-41695-41812-41815-41816-41820-41822-41824-41827-41828-41830-41833-41834-41836-41838-41841-41842-41844-41846-41850-41860-41862-41864-41867-41886-41889-41890-41892-41894-41896-41898-41902-41924-42060-42136-42156-42183-42184-42186-42188-42190-42193-42194-42196-42199-42201-42202-42205-42206-42208-42212-42284-42290-42366-42369-42370-42373-42392-42518-42587-42612-42631-42632-42635-42636-42638-42641-42643-42651-42657-42718-42732-42735-42887-42938-43076-43142-43152-43157-43164-43230-43264-43266-43372-43439-43490-43523-43561-43699-43739-43810-43852-44038-44054-44096-44099-44104-44488-44494-44506-44715-44720-44732-44845-44901-44952-45041-45081-45091-45228-45250-45382-45402-45509-45652-45708-45756-46084-46110-46112-46114-46116-46118-46120-46122-46124-46126-46128-46130-46132-46134-46136-46250-46395-46544-46692-46748-46782-46816-46835-46894-46899-46910-46918-46922-46924-46926-46928-46932-46935-46936-46938-46944-46946-46955-46963-46964-46966-46968-46970-46972-46975-46976-46978-46983-46985-46986-46989-47003-47004-47007-47012-47014-47017-47020-47022-47025-47027-47028-47030-47033-47041-47043-47045-47059-47064-47066-47068-47071-47073-47080-47082-47100-47102-47147-47149-47150-47165-47173-47174-47200-47203-47204-47206-47208-47212-47218-47220-47222-47226-47228-47230-47233-47234-47242-47245-47246-47249-47250-47254-47256-47258-47261-47262-47265-47266-47268-47270-47273-47283-47284-47304-47540-47632-47719-47722-47725-47727-47728-47737-47774-47776-47800-47821-47883-48026-48049-48152-48155-48278-48282-48287-48288-48290-48292-48295-48296-48298-48300-48302-48305-48307-48309-48312-48314-48316-48318-48320-48324-48359-48361-48363-48365-48366-48369-48370-48372-48374-48376-48378-48380-48382-48385-48386-48388-48390-48392-48395-48396-48399-48400-48403-48404-48406-48409-48466-48468-48471-48472-48474-48477-48484-48533-48620-48631-48632-48635-48793-48900-48902-48950-48989-49002-49021-49022-49034-49074-49144-49147-49148-49794-49838-49890-49922-49989-50012-50014-50017-50019-50021-50023-50025-50027-50028-50034-50042-50062-50068-50086-50132-50348-50438-50557-50576-50860-50909-50948-51056-51110-51168-51352-51396-51444-51447-51452-51455-51456-51458-51461-51462-51465-51476-51478-51480-51482-51484-51486-51489-51491-51497-51499-51500-51503-51505-51506-51508-51510-51513-51514-51516-51519-51520-51522-51525-51527-51528-51636-51769-51864-51866-51868-51942-51949-52132-52134-52137-52190-52192-52197-52204-52408-52446-52654-52657-52658-52661-52663-52665-52666-52668-52671-52673-52674-52676-52678-52680-52682-52684-52687-52689-52690-52693-52694-52696-52698-52700-52702-52704-52708-52724-52726-52729-52730-52732-52735-52737-52738-52740-52743-52744-52746-52748-52750-52752-52754-52756-52758-52760-52922-52969-53064-53072-53467-53630-53690-53919-53932-53942-53976-54048-54208-54211-54214-54216-54220-54259-54348-54476-54488-54556-54714-54722-54740-54804-54877-54894-54897-54899-54910-54938-54942-54984-55116-55172-55316-55388-55442-55464-55547-55833-55842-55858-55906-55916-55956-56046-56140-56277-56395-56448-56552-56559-56622-56625-56781-56782-56784-56786-56789-56790-56792-56794-56796-56828-56910-57014-57032-57036-57124-57255-57288-57320-57377-57512-57608-57630-57702-57920-58003-58151-58368-58370-58373-58375-58377-58378-58381-58382-58384-58386-58388-58391-58392-58394-58396-58398-58436-58496-58542-58545-58829-59088-59894-59896-59898-59900-59903-59905-59906-59921-59923-59926-60010-60274-60278-60390-60771-60792-60796-60862
3,6-46-58-64
4,9-21-29-75-79-291-303-374-585-749-1567-2245-3067-3163-3667-4353-6391-7279-7418-15095-24767
5,11-173-257-981-1638-3083-3871-6337-6673-7863-8473-10391-10997-13072-13665-17065-19851-21897-24939-26651-50138-53283-56731
6,13-28-99-277-763-887-895-1983-2455-3574-9317-14565-19807-21049-31093
7,14
8,15-22-25-53-60-90-101-111-155-200-203-337-448-517-526-545-635-889-985-2131-2235-2249-2443-2920-2923-2925-3061-3071-3073-3079-3507-3509-3523-3540-3733-4116-5437-5568-5933-6146-7291-7434-9093-10016-10875-10970-11451-12612-12650-12908-13994-14280-14321-16139-16500-17201-17367-17436-18039-18517-18631-19049-20595-20753-21715-22188-22760-25300-25632-26027-26384-26386-26491-26610-29011-31755-32281-33119-33529-34430-34436-34439-34963-36613-37196-37468-39094-39159-39221-40146-40355-40763-44243-45497-50130-53259-53311-55395
9,16-18-300
10,17-19-24-27-49-62-214-251-271-367-372-382-472-504-715-925-936-2618-2702-3037-4718-5376-5489-5561-6512-6710-7066-8210-8773-10951-11467-11956-12082-13982-14278-15066-17905-18633-18832-19073-21091-22096-23142-24433-24489-24975-26186-27416-28126-30741-36733-43786-43789-44468-45391-50134-51693-59751
11,20
12,23-241-246-253
13,26-518-2036-3942-4954-5567-6546-12593-12734-14924-15127-15516-16600-17372-18660-21940-22736-24075-24786-52216-56291-57188-57682
14,30-35384-56091
15,31-33
16,32-36-44-543-768-783-792-795-1000-1128-2178-2336-2484-2720-3404-4174-4359-4363-4456-5044-5520-5570-5754-5824-5829-5836-5991-6096-6528-6692-6698-6816-7364-7688-7752-7864-8114-8296-8494-11654-12216-12823-14064-14394-15476-15498-15988-16154-16624-16816-18736-19042-19108-19226-19488-19600-19631-20285-20930-22044-22364-23000-23544-24582-24850-24978-25440-26308-29088-29640-30700-31729-32166-32692-40784-43078-48304-50088-53854-57938-58189-58556-58697
